"","x"
"1","0074078000011"
"2","0100060000011"
"3","0006719000041"
"4","0072531000011"
"5","0076772000011"
"6","0092448000021"
"7","0113153000011"
"8","0003977000011"
"9","0042848000011"
"10","0072317000021"
"11","0090192000011"
"12","0004165000011"
"13","0012033000011"
"14","0006328000011"
"15","0022539000011"
"16","0070744000041"
"17","0103158000011"
"18","0025269000021"
"19","0010469000021"
"20","0089556000011"
"21","0044776000021"
"22","0029759000031"
"23","0103488000021"
"24","0019698000011"
"25","0107156000021"
"26","0030309000011"
"27","0045542000011"
"28","0108463000011"
"29","0045465000021"
"30","0027138000011"
"31","0112899000011"
"32","0062076000011"
"33","0000538000031"
"34","0068494000051"
"35","0029219000041"
"36","0060564000011"
"37","0038776000031"
"38","0108552000031"
"39","0102534000031"
"40","0089202000011"
"41","0030276000021"
"42","0038206000011"
"43","0020538000011"
"44","0105668000021"
"45","0050202000011"
"46","0044222000031"
"47","0056334000011"
"48","0100955000021"
"49","0001860000021"
"50","0045780000021"
"51","0079511000031"
"52","0402688000011"
"53","0284504000011"
"54","0218287000011"
"55","0170854000021"
"56","0237357000011"
"57","0534418000021"
"58","0214682000011"
"59","0570092000011"
"60","0248078000021"
"61","0321541000021"
"62","0311311000011"
"63","0172239000011"
"64","0194452000011"
"65","0537106000011"
"66","0417176000021"
"67","0455448000021"
"68","0353529000021"
"69","0232040000011"
"70","0385090000011"
"71","0303988000021"
"72","0477249000011"
"73","0251599000011"
"74","0559174000011"
"75","0566490000011"
"76","0133758000021"
"77","0449976000011"
"78","0522485000011"
"79","0451503000011"
"80","0155747000021"
"81","0297824000021"
"82","0305895000031"
"83","0159477000021"
"84","0401310000011"
"85","0256379000011"
"86","0209315000011"
"87","0539005000011"
"88","0492442000021"
"89","0436261000021"
"90","0441970000031"
"91","0558978000031"
"92","0591738000031"
"93","0379788000021"
"94","0223441000021"
"95","0428813000021"
"96","0437599000061"
"97","0490401000011"
"98","0377409000011"
"99","0559037000011"
"100","0350748000041"
"101","0402589000101"
"102","0163701000061"
"103","0304244000031"
"104","0463380000011"
"105","0344664000021"
"106","0591390000021"
"107","0569219000061"
"108","0297607000011"
"109","0197096000011"
"110","0456685000011"
"111","0274999000011"
"112","0228741000021"
"113","0217466000031"
"114","0536564000031"
"115","0497445000021"
"116","0299964000011"
"117","0269407000021"
"118","0324285000011"
"119","0459096000031"
"120","0440423000011"
"121","0160405000021"
"122","0285147000011"
"123","0233839000021"
"124","0491073000021"
"125","0446511000011"
"126","0184421000011"
"127","0164704000021"
"128","0134112000021"
"129","0140457000011"
"130","0254268000021"
"131","0342278000011"
"132","0213043000021"
"133","0451356000071"
"134","0208073000011"
"135","0305892000021"
"136","0422398000021"
"137","0532414000051"
"138","0456594000011"
"139","0414213000021"
"140","0446782000021"
"141","0495011000021"
"142","0377002000041"
"143","0491283000031"
"144","0475720000011"
"145","0477201000021"
"146","0539767000011"
"147","0317937000031"
"148","0389558000031"
"149","0394867000011"
"150","0538445000011"
"151","0415642000031"
"152","0524740000011"
"153","0124615000021"
"154","0340272000021"
"155","0535374000021"
"156","0296850000021"
"157","0316317000021"
"158","0516656000011"
"159","0589271000011"
"160","0127411000011"
"161","0387495000011"
"162","0241705000021"
"163","0571593000041"
"164","0239629000011"
"165","0256922000011"
"166","0503162000021"
