AR_provincia_name,AR_provincia,AR_departamento_name,AR_departamento
Buenos Aires,2,Río Seco,150
Catamarca,20,Magdalena,78
Catamarca,20,Navarro,89
Catamarca,20,Junín,65
Chaco,10,Lavalle,309
Chaco,10,Calamuchita,135
Chaco,10,Ituzaingó,308
Mendoza,5,Exaltación de la Cruz,41
Misiones,9,Famatina,468
Neuquén,17,Chapaleufú,485
Río Negro,15,Figueroa,331
Salta,8,Avellaneda,387
San Juan,14,Valcheta,396
San Luis,19,Cafayate,234
Santa Cruz,23,Arauco,462
Santa Fe,4,Corpen Aike,502
Santa Fe,4,Yaví,364
Santiago del Estero,12,Iriondo,168
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",24,Castellanos,164
Tucumán,6,San Javier,173
Tucumán,6,Trenel,500
Tucumán,6,Junín,65
