"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"1","0005056000011",1,40,1,2,1,2,1,-58.4488804101251,-34.6151479182398,1,"000505600001","01","0005056000"
"2","0019187000021",1,46,2,3,1,3,2,-58.4488804101251,-34.6151479182398,1,"001918700002","02","0019187000"
"3","0023942000011",1,28,1,3,1,1,1,-58.4488804101251,-34.6151479182398,1,"002394200001","01","0023942000"
"4","0065203000021",1,22,1,3,1,4,2,-58.4488804101251,-34.6151479182398,1,"006520300002","02","0065203000"
"5","0127653000021",2,32,1,2,1,8,2,-58.3668830324285,-34.834805250436,1,"012765300002","02","0127653000"
"6","0138769000021",1,30,1,3,1,5,2,-58.3413586936725,-34.6784127460771,1,"013876900002","02","0138769000"
"7","0176917000011",1,42,1,2,1,3,1,-58.8829412440182,-34.1386177245953,1,"017691700001","01","0176917000"
"8","0177669000011",2,41,1,2,1,4,1,-58.8829412440182,-34.1386177245953,1,"017766900001","01","0177669000"
"9","0182291000021",2,28,1,2,1,6,2,-62.3041170545294,-35.0520306025413,1,"018229100002","02","0182291000"
"10","0194050000021",1,21,1,3,1,3,2,-61.8213726999748,-36.5267705479113,1,"019405000002","02","0194050000"
"11","0202417000011",2,25,1,2,2,4,1,-58.7704904274157,-34.3278587595283,1,"020241700001","01","0202417000"
"12","0207544000031",1,25,1,2,1,6,2,-58.4762694631934,-34.8303492519273,1,"020754400003","03","0207544000"
"13","0244419000031",1,18,1,5,3,4,2,-57.7400569739232,-37.965633071548,1,"024441900003","03","0244419000"
"14","0246915000011",1,34,1,2,1,3,1,-57.7400569739232,-37.965633071548,1,"024691500001","01","0246915000"
"15","0257509000031",2,29,1,2,3,8,2,-58.5637335647496,-34.5518231350295,1,"025750900003","03","0257509000"
"16","0269844000011",2,62,1,2,1,2,1,-58.5637335647496,-34.5518231350295,1,"026984400001","01","0269844000"
"17","0284677000011",1,25,1,3,1,2,1,-58.7770476904653,-34.511070292185,1,"028467700001","01","0284677000"
"18","0303657000011",1,27,1,3,1,3,1,-58.6246088672568,-34.7693065019551,1,"030365700001","01","0303657000"
"19","0311519000011",1,24,1,2,1,1,1,-58.6246088672568,-34.7693065019551,1,"031151900001","01","0311519000"
"20","0332075000011",2,42,1,2,1,5,1,-58.6246088672568,-34.7693065019551,1,"033207500001","01","0332075000"
"21","0402084000031",1,20,1,3,1,5,2,-58.423469690169,-34.7541169431057,1,"040208400003","03","0402084000"
"22","0410296000031",1,25,1,3,3,5,2,-58.7114316572832,-34.4864692511546,1,"041029600003","03","0410296000"
"23","0444647000021",1,33,2,2,1,4,2,-58.8103623815554,-34.6098501944399,1,"044464700002","02","0444647000"
"24","0484372000011",1,26,1,2,1,2,1,-58.9025599874312,-34.4479556816522,1,"048437200001","01","0484372000"
"25","0504541000021",2,27,1,2,3,4,2,-58.2767767278006,-34.7349189384936,1,"050454100002","02","0504541000"
"26","0506947000011",2,23,1,2,2,3,1,-58.2767767278006,-34.7349189384936,1,"050694700001","01","0506947000"
